name	highway	maxheight	@lat	@lon
Station Road	primary	4.4	51.4340279	0.1026396
Sidcup By-pass	trunk	4.9	51.4186285	0.0983567
Page Heath Villas	residential	3.8	51.3994052	0.0368422
Page Heath Villas	residential	3.8	51.3996681	0.0366834
Dockside Road	unclassified	4.3	51.5081330	0.0451908
Barnabas Road	residential	3.7	51.5470418	-0.0419684
Churchill Gardens Road	residential	4.2	51.4862457	-0.1385119
Horsenden Lane South	tertiary	4.7	51.5369518	-0.3241846
Alperton Lane	secondary	4.8	51.5328088	-0.3078728
Brighton Road	primary	4.5	51.3908988	-0.3085062
Manor Drive North	residential	4.8	51.3842655	-0.2616611
Forest Road	tertiary	4.5	51.3849148	-0.2002835
Park Road	cycleway	3.9	51.6177328	-0.0654306
Harrowdene Road	residential	4.6	51.5543306	-0.3044308
Lyon Way	service	4.8	51.5408813	-0.3397941
North Street	secondary	4.6	51.3686941	-0.1651968
Riverside	unclassified	4.2	51.4934797	0.0254324
Upper Wickham Lane	primary	4.9	51.4644641	0.1088344
Sidcup Road	trunk	4.9	51.4468863	0.0306563
Stanhope Grove	residential	4.5	51.3931053	-0.0355869
Homesdale Road	secondary	4.11	51.4004504	0.0345720
Homesdale Road	secondary	4.1	51.3996120	0.0327097
Tiepigs Lane	tertiary	4.4	51.3767838	0.0040492
Gravel Hill	primary	4.7	51.3546977	-0.0419204
Gravel Hill	primary	4.7	51.3543246	-0.0398189
	residential	3.5	51.4179474	-0.3824666
Sheepcote Lane	unclassified	4.2	51.3930416	0.1391437
Upper Elmers End Road	primary	4.5	51.3934587	-0.0414537
Catford Hill	trunk	4.8	51.4436411	-0.0264277
Kingston Road	trunk	4.6	51.3771924	-0.2787409
Kingston Road	trunk	4.6	51.3772867	-0.2785878
Central Road	primary	4.7	51.3807848	-0.2451276
Stanhope Road	residential	4.49	51.5745397	-0.1349295
Church Street	secondary	4.5	51.6251657	-0.0611286
Cromer Road	service	4.6	51.4727226	-0.4550644
Ealing Road	primary	4.8	51.5404672	-0.2992585
Camden Mews	residential	3.8	51.5483944	-0.1285015
Camden Mews	residential	3.8	51.5484626	-0.1284098
	unclassified	4.7	51.4743093	-0.4826307
	unclassified	4.7	51.4742999	-0.4857405
Sussex Road	residential	"14'3"""	51.3593058	-0.0927180
	service	1.5	51.5748125	-0.0536564
	service	1.5	51.5747502	-0.0537613
Dagmar Terrace	residential	2.9	51.5389948	-0.1008699
Mortimer Market	unclassified	default	51.5225523	-0.1356186
Blackwall Tunnel	trunk	4.7	51.4998695	0.0018069
Blackwall Tunnel	trunk	4.7	51.5006033	0.0019200
Blackwall Tunnel	trunk	4.7	51.5005221	0.0019076
Chalk Hill Road	service	default	51.4922655	-0.2198952
Novotel Parking	service	1.8	51.4922832	-0.2208391
	service	3.6	51.4613091	-0.0756976
	service	3.6	51.4612941	-0.0757232
